City Name,Country,Region,Latitude,Longitude,Land Cover Dates T1,Land Cover Dates T2,Land Cover Dates T3,Urban Extent Population T1,Urban Extent Population T2,Urban Extent Population T3,Built-up Area Total  (ha) T1,Built-up Area Total  (ha) T2,Built-up Area Total  (ha) T3,Urban Built-up Area (ha) T1,Urban Built-up Area (ha) T2,Urban Built-up Area (ha) T3,Surburban Built-up Area (ha) T1,Surburban Built-up Area (ha) T2,Surburban Built-up Area (ha) T3,Rural Built-up Area  (ha) T1,Rural Built-up Area  (ha) T2,Rural Built-up Area  (ha) T3,Urbanized Open Space  (ha) T1,Urbanized Open Space  (ha) T2,Urbanized Open Space  (ha) T3,Urban Extent (ha) T1,Urban Extent (ha) T2,Urban Extent (ha) T3
Budapest,Hungary,Europe and Japan,47.484,19.09,7/1/92,6/1/02,7/1/13,2041591,1885418,2272785,27061,28413,52029,22831,23866,42061,3942,4253,9331,288,295,638,10262,11035,23686,37323,39449,75715
Buenos Aires,Argentina,Latin America and the Caribbean,-34.652,-58.547,5/1/89,12/1/01,3/1/14,10568200,11494967,13879006,99014,115643,147306,87998,103531,132652,10275,11337,13632,742,774,1022,34000,37989,46088,133014,153632,193394
Bukhara,Uzbekistan,South and Central Asia,39.763,64.465,4/1/91,7/1/00,8/1/13,42305,138578,369044,724,4161,14153,248,2120,9827,441,1893,4061,36,148,265,872,3822,7483,1596,7983,21636
Busan,Korea Rep.,East Asia and the Pacific,35.167,129.036,2/1/91,10/1/00,9/1/13,3731022,3837305,3974065,13690,20898,32657,10630,16517,25259,2855,4113,6899,204,267,499,5966,8423,15228,19656,29321,47885
Cabimas,Venezuela,Latin America and the Caribbean,10.284,-71.37,12/1/89,1/1/00,1/1/14,238324,384017,460894,5896,7912,9488,4797,6577,8194,1022,1263,1223,76,71,71,2413,3142,3452,8309,11054,12940
Cairo,Egypt,Western Asia and North Africa,30.034,31.282,8/1/92,4/1/03,5/1/13,9621785,11928479,15734934,29717,45508,93093,24381,39689,74782,5000,5387,17100,336,432,1211,11486,12665,43303,41203,58172,136396
Caracas,Venezuela,Latin America and the Caribbean,10.479,-66.897,5/1/91,3/1/01,1/1/14,2549725,2868565,3104392,12789,14885,16352,9864,11946,13283,2741,2770,2894,183,169,175,6985,7282,7851,19774,22167,24202
Cebu City,Philippines,Southeast Asia,10.322,123.907,8/1/93,8/1/00,2/1/14,942998,1338323,2391839,4649,6686,12462,3525,4834,9488,1042,1698,2828,81,153,146,2680,4201,6396,7329,10887,18858
"Changzhi, Hunan",China,East Asia and the Pacific,36.192,113.116,10/1/92,10/1/00,6/1/14,286761,346288,822355,2921,4516,11526,2010,3230,7712,843,1183,3517,68,103,297,1902,3040,8192,4823,7556,19718
"Changzhou, Jingsu",China,East Asia and the Pacific,31.775,119.97,10/1/89,3/1/00,3/1/14,1001960,1523237,3075746,4802,17577,49226,3568,13386,38358,1141,3942,10187,92,248,680,2601,8083,28475,7403,25660,77700
"Chengdu, Sichuan",China,East Asia and the Pacific,30.667,104.051,5/1/88,5/1/00,3/1/09,2019420,5117629,9339734,10241,36391,114992,8740,28538,93115,1374,7286,20064,128,567,1813,3953,16750,52688,14194,53140,167680
"Chengguan, Guizhou",China,East Asia and the Pacific,26.68,105.769,8/1/90,11/1/00,6/1/13,52551,95957,117083,174,283,673,109,187,454,57,87,204,8,9,15,132,178,400,305,461,1072
Cheonan,Korea Rep.,East Asia and the Pacific,36.826,127.144,2/1/91,8/1/00,9/1/14,111318,210488,552995,916,2900,9037,707,1683,4528,193,1115,4153,16,101,356,551,2163,8014,1467,5063,17051
Chicago,United States,Land-Rich Developed Countries,41.86,-87.864,6/1/89,9/1/01,9/1/14,7325015,8509731,8913778,340562,452051,510972,295049,387572,440661,42131,60181,65517,3382,4298,4793,136571,177800,189867,477133,629852,700838
Cirebon,Indonesia,Southeast Asia,-6.702,108.497,10/1/89,10/1/00,6/1/14,98401,328368,1044889,285,1154,6404,24,315,3719,242,766,2494,19,74,191,444,1601,4471,728,2755,10875
Cleveland,United States,Land-Rich Developed Countries,41.47,-81.636,4/1/90,3/1/00,6/1/13,1376230,1622727,1865023,43934,72699,116854,30400,51594,88282,12737,19782,26964,797,1322,1608,35462,52108,75302,79395,124807,192157
Cochabamba,Bolivia,Latin America and the Caribbean,-17.391,-66.17,7/1/90,6/1/00,7/1/13,485412,723799,1034944,5546,11323,16736,3606,9113,12831,1803,2024,3633,136,186,272,3958,5777,9559,9504,17100,26295
Coimbatore,India,South and Central Asia,11.015,76.973,1/1/92,10/1/00,2/1/14,528106,959042,1650080,3630,7310,12191,2307,4468,7734,1239,2632,4081,84,210,376,3172,6527,10243,6802,13836,22434
Cordoba,Argentina,Latin America and the Caribbean,-31.381,-64.216,12/1/91,11/1/01,7/1/14,1128755,1233898,1392944,15909,19222,24542,13556,16584,20270,2214,2432,3965,140,206,307,5959,7748,10945,21868,26970,35487
Culiacan,Mexico,Latin America and the Caribbean,24.798,-107.402,1/1/90,1/1/00,3/1/14,375046,483533,625346,5742,7896,11563,4921,6629,10008,776,1163,1451,44,104,104,1895,2871,3839,7636,10767,15402
Curitiba,Brazil,Latin America and the Caribbean,-25.463,-49.254,9/1/90,7/1/00,1/1/14,1375084,2106460,2728388,14909,31150,44527,9646,24029,37503,4913,6707,6596,350,415,428,13208,18072,19499,28118,49222,64027
Dhaka,Bangladesh,South and Central Asia,23.766,90.418,11/1/89,10/1/99,3/1/14,4005507,6690664,13609023,7473,12478,24676,4798,8287,19795,2525,3885,4521,150,306,359,6404,10347,11865,13878,22825,36541
Dzerzhinsk,Russia,Europe and Japan,56.241,43.455,8/1/89,4/1/00,7/1/10,225340,201809,183841,3278,4448,5047,2263,3683,4354,958,728,658,57,36,35,2484,1974,1813,5762,6421,6860
Florianopolis,Brazil,Latin America and the Caribbean,-27.595,-48.613,5/1/90,5/1/00,1/1/14,284463,375071,532951,4394,6719,10210,2685,4887,7748,1600,1700,2314,108,131,147,2838,3657,5640,7231,10375,15850
Fukuoka,Japan,Europe and Japan,33.598,130.437,5/1/93,5/1/01,4/1/14,1953223,2110744,2306030,23549,30518,34507,19829,26652,30259,3510,3617,3954,209,250,295,8829,10158,10996,32377,40676,45503
"Gainesville, FL",United States,Land-Rich Developed Countries,29.661,-82.377,7/1/90,10/1/00,10/1/13,112979,137912,175756,4516,6091,7663,2147,3227,3927,2235,2705,3540,134,159,196,4316,5536,7182,8832,11627,14845
"Gaoyou, Jiangsu",China,East Asia and the Pacific,32.792,119.43,10/1/90,1/1/00,4/1/16,86595,70291,186351,695,1128,5336,576,856,4252,106,255,1003,14,18,81,164,444,2111,860,1572,7446
Gombe,Nigeria,Sub-Saharan Africa,10.29,11.167,12/1/90,4/1/00,5/1/13,158339,222582,416874,950,1327,3699,691,1117,3064,236,191,587,22,19,48,521,544,1563,1471,1871,5262
Gomel,Belarus,Europe and Japan,52.432,30.972,5/1/90,9/1/00,5/1/13,434467,501664,508557,5152,8738,9573,4345,7047,7764,763,1561,1693,44,129,117,2250,3986,4013,7402,12724,13587
Gorgan,Iran,South and Central Asia,36.843,54.436,6/1/91,10/1/00,9/1/14,142123,227778,375741,1777,2523,3235,1280,2002,2571,467,473,606,31,49,58,883,956,1288,2660,3480,4523
Guadalajara,Mexico,Latin America and the Caribbean,20.66,-103.357,3/1/90,11/1/99,4/1/14,2802064,3360859,4375721,26758,35080,51625,22900,31367,44886,3620,3453,6279,238,259,460,11157,11564,17191,37915,46644,68816
"Guangzhou, Guangdong",China,East Asia and the Pacific,22.936,113.608,2/1/91,9/1/00,10/1/14,2405072,12039122,24657221,8183,120182,323148,4881,77412,237094,3038,39584,80406,264,3186,5647,6837,75290,185112,15020,195472,508259
Guatemala City,Guatemala,Latin America and the Caribbean,14.605,-90.542,1/1/90,1/1/01,11/1/13,1128878,1946428,2654085,13307,19229,26506,9831,15213,22402,3252,3750,3808,224,267,297,8281,10243,11059,21588,29472,37566
"Guixi, Chongqing",China,East Asia and the Pacific,30.332,107.348,6/1/88,7/1/01,6/1/16,17185,104711,198120,140,381,1862,56,219,1374,76,149,449,8,13,39,146,296,1070,285,677,2931
Gwangju,Korea Rep.,East Asia and the Pacific,35.146,126.919,10/1/89,3/1/00,5/1/15,723576,1054149,1368716,3639,8151,16033,2989,5960,13831,598,2014,2057,52,177,144,1637,4343,5632,5277,12494,21664
"Haikou, Hainan",China,East Asia and the Pacific,20.028,110.329,10/1/91,7/1/01,12/1/13,501814,756043,1247662,2379,3868,8867,1628,2774,6817,691,1019,1943,60,75,108,1293,2614,5129,3672,6482,13996
Halle,Germany,Europe and Japan,51.487,11.97,8/1/90,9/1/99,7/1/10,283271,258612,235706,3587,5894,6721,2505,4409,5131,999,1357,1484,83,127,106,2497,3047,3073,6084,8941,9793
"Hangzhou, Zhejiang",China,East Asia and the Pacific,30.305,120.168,10/1/90,5/1/00,4/1/13,68585,3603845,10446329,4627,43702,196261,1904,21314,108115,2559,20611,82497,164,1776,5649,5298,41851,175928,9925,85552,372189
